,scanindex,rettime,mz,intensity,organism,isotope,condition,isotopomer,exp_id
9,496,3.703,451.3001,286,RLUS1353,13,ACE-1,M1,EXAMPLE_3
10,496,3.703,452.3096,337,RLUS1353,13,ACE-1,M2,EXAMPLE_3
12,496,3.703,453.3112,368,RLUS1353,13,ACE-1,M3,EXAMPLE_3
13,496,3.703,454.307,120,RLUS1353,13,ACE-1,M5,EXAMPLE_10
14,496,3.703,455.3176,339,RLUS1353,13,ACE-1,M5,EXAMPLE_3
15,496,3.703,468.2988,313,RLUS1353,13,ACE-1,M2,EXAMPLE_11
16,496,3.703,469.3014,334,RLUS1353,13,ACE-1,M3,EXAMPLE_11
20,497,3.71,449.2868,209,RLUS1353,13,ACE-1,M0,EXAMPLE_10
23,497,3.71,451.298,321,RLUS1353,13,ACE-1,M2,EXAMPLE_10
24,497,3.71,452.3074,411,RLUS1353,13,ACE-1,M2,EXAMPLE_3
26,497,3.71,453.3036,242,RLUS1353,13,ACE-1,M4,EXAMPLE_10
27,497,3.71,454.317,211,RLUS1353,13,ACE-1,M4,EXAMPLE_3
28,497,3.71,455.3095,148,RLUS1353,13,ACE-1,M6,EXAMPLE_10
29,497,3.71,466.293,117,RLUS1353,13,ACE-1,M0,EXAMPLE_11
31,497,3.71,468.3026,295,RLUS1353,13,ACE-1,M2,EXAMPLE_11
32,497,3.71,469.303,445,RLUS1353,13,ACE-1,M3,EXAMPLE_11
38,498,3.717,450.293,148,RLUS1353,13,ACE-1,M1,EXAMPLE_10
39,498,3.717,451.3028,190,RLUS1353,13,ACE-1,M1,EXAMPLE_3
40,498,3.717,452.3028,554,RLUS1353,13,ACE-1,M2,EXAMPLE_3
42,498,3.717,453.3046,595,RLUS1353,13,ACE-1,M4,EXAMPLE_10
43,498,3.717,454.3152,428,RLUS1353,13,ACE-1,M4,EXAMPLE_3
44,498,3.717,455.3182,136,RLUS1353,13,ACE-1,M5,EXAMPLE_3
48,498,3.717,469.3024,294,RLUS1353,13,ACE-1,M3,EXAMPLE_11
49,498,3.717,470.3042,128,RLUS1353,13,ACE-1,M4,EXAMPLE_11
51,499,3.724,433.2896,129,RLUS1353,13,ACE-1,M1,EXAMPLE_6
