,scanindex,rettime,mz,intensity,organism,isotope,condition,isotopomer,exp_id
8,496,3.704,448.2796,174,RLUS1353,15,GLU-1,M0,EXAMPLE_10
9,496,3.704,451.295,132,RLUS1353,15,GLU-1,M1,EXAMPLE_3
11,496,3.704,466.2938,440,RLUS1353,15,GLU-1,M0,EXAMPLE_11
12,496,3.704,467.2911,387,RLUS1353,15,GLU-1,M1,EXAMPLE_11
15,497,3.711,433.2852,100,RLUS1353,15,GLU-1,M1,EXAMPLE_6
20,497,3.711,449.2848,226,RLUS1353,15,GLU-1,M1,EXAMPLE_10
22,497,3.711,450.2979,233,RLUS1353,15,GLU-1,M0,EXAMPLE_3
23,497,3.711,451.301,190,RLUS1353,15,GLU-1,M1,EXAMPLE_3
25,497,3.711,466.2975,320,RLUS1353,15,GLU-1,M0,EXAMPLE_11
26,497,3.711,467.2916,319,RLUS1353,15,GLU-1,M1,EXAMPLE_11
35,498,3.719,451.301,236,RLUS1353,15,GLU-1,M1,EXAMPLE_3
37,498,3.719,466.298,226,RLUS1353,15,GLU-1,M0,EXAMPLE_11
38,498,3.719,467.2944,343,RLUS1353,15,GLU-1,M1,EXAMPLE_11
42,499,3.726,432.2381,118,RLUS1353,15,GLU-1,M0,EXAMPLE_1
43,499,3.726,433.2934,171,RLUS1353,15,GLU-1,M0,EXAMPLE_9
47,499,3.726,450.297,375,RLUS1353,15,GLU-1,M0,EXAMPLE_3
48,499,3.726,451.298,502,RLUS1353,15,GLU-1,M1,EXAMPLE_3
49,499,3.726,452.2998,110,RLUS1353,15,GLU-1,M1,EXAMPLE_7
52,499,3.726,467.2957,438,RLUS1353,15,GLU-1,M1,EXAMPLE_11
54,499,3.726,468.3082,273,RLUS1353,15,GLU-1,M0,EXAMPLE_4
55,499,3.726,469.312,189,RLUS1353,15,GLU-1,M1,EXAMPLE_4
56,500,3.733,432.2364,280,RLUS1353,15,GLU-1,M0,EXAMPLE_1
57,500,3.733,433.2856,486,RLUS1353,15,GLU-1,M1,EXAMPLE_6
