scanindex,rettime,mz,intensity,organism,isotope,condition
23,3.698,458.6466,115,RLUS1353,12,GLU-1
496,3.703,431.2764,106,RLUS1353,12,GLU-1
496,3.703,432.2908,262,RLUS1353,12,GLU-1
496,3.703,434.2282,152,RLUS1353,12,GLU-1
496,3.703,435.1632,334,RLUS1353,12,GLU-1
496,3.703,435.2164,144,RLUS1353,12,GLU-1
496,3.703,436.2427,246,RLUS1353,12,GLU-1
496,3.703,437.1685,197,RLUS1353,12,GLU-1
496,3.703,439.3493,405,RLUS1353,12,GLU-1
496,3.703,440.352,188,RLUS1353,12,GLU-1
496,3.703,442.2976,200,RLUS1353,12,GLU-1
496,3.703,448.2822,577,RLUS1353,12,GLU-1
496,3.703,449.2866,243,RLUS1353,12,GLU-1
496,3.703,449.3853,142,RLUS1353,12,GLU-1
496,3.703,450.2997,1663,RLUS1353,12,GLU-1
496,3.703,451.2974,453,RLUS1353,12,GLU-1
496,3.703,456.2734,142,RLUS1353,12,GLU-1
496,3.703,459.3028,160,RLUS1353,12,GLU-1
496,3.703,464.2867,413,RLUS1353,12,GLU-1
496,3.703,465.2816,153,RLUS1353,12,GLU-1
496,3.703,466.2988,1301,RLUS1353,12,GLU-1
496,3.703,467.2948,192,RLUS1353,12,GLU-1
496,3.703,468.3114,506,RLUS1353,12,GLU-1
496,3.703,469.3209,106,RLUS1353,12,GLU-1
497,3.71,431.275,140,RLUS1353,12,GLU-1
497,3.71,432.238,850,RLUS1353,12,GLU-1
497,3.71,432.2856,251,RLUS1353,12,GLU-1
497,3.71,433.233,177,RLUS1353,12,GLU-1
497,3.71,434.9841,117,RLUS1353,12,GLU-1
497,3.71,435.076,102,RLUS1353,12,GLU-1
497,3.71,435.1662,392,RLUS1353,12,GLU-1
497,3.71,436.1538,161,RLUS1353,12,GLU-1
497,3.71,437.1692,214,RLUS1353,12,GLU-1
497,3.71,439.357,439,RLUS1353,12,GLU-1
497,3.71,448.211,193,RLUS1353,12,GLU-1
497,3.71,448.2812,1240,RLUS1353,12,GLU-1
497,3.71,449.2827,487,RLUS1353,12,GLU-1
497,3.71,450.2989,2080,RLUS1353,12,GLU-1
497,3.71,451.3084,547,RLUS1353,12,GLU-1
497,3.71,452.3078,182,RLUS1353,12,GLU-1
497,3.71,453.176,179,RLUS1353,12,GLU-1
497,3.71,463.2818,134,RLUS1353,12,GLU-1
497,3.71,464.2796,317,RLUS1353,12,GLU-1
497,3.71,466.2906,839,RLUS1353,12,GLU-1
497,3.71,467.295,268,RLUS1353,12,GLU-1
497,3.71,468.3085,649,RLUS1353,12,GLU-1
497,3.71,469.3018,162,RLUS1353,12,GLU-1
498,3.717,432.2384,3088,RLUS1353,12,GLU-1
498,3.717,432.2948,164,RLUS1353,12,GLU-1
498,3.717,433.2418,1076,RLUS1353,12,GLU-1
498,3.717,433.2914,208,RLUS1353,12,GLU-1
498,3.717,435.1718,281,RLUS1353,12,GLU-1
498,3.717,436.1608,139,RLUS1353,12,GLU-1
498,3.717,439.3553,178,RLUS1353,12,GLU-1
498,3.717,440.1643,107,RLUS1353,12,GLU-1
498,3.717,442.2928,195,RLUS1353,12,GLU-1
498,3.717,448.2868,991,RLUS1353,12,GLU-1
498,3.717,449.289,438,RLUS1353,12,GLU-1
498,3.717,449.3918,113,RLUS1353,12,GLU-1
498,3.717,450.3002,2853,RLUS1353,12,GLU-1
498,3.717,451.3014,1037,RLUS1353,12,GLU-1
498,3.717,452.3084,327,RLUS1353,12,GLU-1
498,3.717,456.276,119,RLUS1353,12,GLU-1
498,3.717,460.234,123,RLUS1353,12,GLU-1
498,3.717,462.2333,105,RLUS1353,12,GLU-1
498,3.717,464.296,581,RLUS1353,12,GLU-1
498,3.717,465.3148,155,RLUS1353,12,GLU-1
