exp_id,condition,isotope,isotopomer,slope,intercept,std_err,scan_count,mean,stdev,rep_count
EXAMPLE_1,ACE-1,12,M1vM0,0.28170491857439217,71.0274964762798,0.013545801978244901,13,0.25969357621088984,0.015081023034183736,4
EXAMPLE_1,ACE-2,12,M1vM0,0.25595239842427586,252.19030126186408,0.008386540885386248,14,0.25969357621088984,0.015081023034183736,4
EXAMPLE_1,ACE-3,12,M1vM0,0.253466818746557,220.14388922168746,0.009268575966842515,14,0.25969357621088984,0.015081023034183736,4
EXAMPLE_1,ACE-4,12,M1vM0,0.2476501690983344,49.1174869716865,0.006451427733989938,14,0.25969357621088984,0.015081023034183736,4
EXAMPLE_1,ACE-1,12,M2vM1,0.06693545349124007,175.12206561652155,0.03171867718769873,4,0.13913370954903892,0.04960952181070869,4
EXAMPLE_1,ACE-2,12,M2vM1,0.1483676274731499,20.460842828033947,0.014924494150345151,10,0.13913370954903892,0.04960952181070869,4
EXAMPLE_1,ACE-3,12,M2vM1,0.17779942253717093,58.625788241324926,0.024015088379001556,9,0.13913370954903892,0.04960952181070869,4
EXAMPLE_1,ACE-4,12,M2vM1,0.16343233469459473,155.24257753903976,0.02683884033967134,7,0.13913370954903892,0.04960952181070869,4
EXAMPLE_1,ACE-2,12,M3vM2,0.9380530973451328,-733.6637168141592,0.0,2,0.46618717477169147,0.6673191873250535,2
EXAMPLE_1,ACE-3,12,M3vM2,-0.005678747801749854,160.31463245882284,0.03061318025625603,4,0.46618717477169147,0.6673191873250535,2
EXAMPLE_1,ACE-3,13,M1vM0,0.2302913606588303,73.24927956702464,0.10479489329264298,3,-0.37890193871820393,0.861529426085815,2
EXAMPLE_1,ACE-4,13,M1vM0,-0.9880952380952381,1403.7142857142858,0.0,2,-0.37890193871820393,0.861529426085815,2
EXAMPLE_10,ACE-2,12,M1vM0,-0.030120481927710843,192.30722891566265,0.0,2,0.0686123105820223,0.13962925421823336,2
EXAMPLE_10,ACE-3,12,M1vM0,0.16734510309175546,108.27797976856708,0.10171978370253883,8,0.0686123105820223,0.13962925421823336,2
EXAMPLE_11,ACE-1,12,M1vM0,0.5023887937519185,-42.773350754080724,0.09713203386106084,6,0.2685082064001546,0.26090206562088697,4
EXAMPLE_11,ACE-2,12,M1vM0,0.3732976297817417,-80.89731388431437,0.1156242128204339,8,0.2685082064001546,0.26090206562088697,4
EXAMPLE_11,ACE-3,12,M1vM0,0.30064283033033035,-13.110715402902912,0.1211048848456409,9,0.2685082064001546,0.26090206562088697,4
EXAMPLE_11,ACE-4,12,M1vM0,-0.10229642826337206,385.63124484195487,0.10949804620872436,8,0.2685082064001546,0.26090206562088697,4
EXAMPLE_11,ACE-1,13,M3vM2,-6.166666666666667,2264.166666666667,0.0,2,-4.035044064282012,3.014569594153411,2
EXAMPLE_11,ACE-4,13,M3vM2,-1.9034214618973562,1039.1270606531882,1.682756048970883,3,-4.035044064282012,3.014569594153411,2
EXAMPLE_11,ACE-2,13,M1vM0,0.1347517730496454,151.04255319148936,0.0,2,-8.932624113475176,12.82320595385817,2
EXAMPLE_11,ACE-3,13,M1vM0,-18.0,2718.0,0.0,2,-8.932624113475176,12.82320595385817,2
EXAMPLE_11,ACE-2,13,M2vM1,3.2628744365364715,-131.36261299926912,2.3503167696112124,6,1.1947914849841574,2.924710958197863,2
EXAMPLE_11,ACE-4,13,M2vM1,-0.8732914665681565,530.1411156261544,1.494669629287365,3,1.1947914849841574,2.924710958197863,2
EXAMPLE_3,ACE-1,12,M1vM0,0.32638816685889965,84.25530651119789,0.007882954055841726,15,0.31927145028832676,0.0070572382635713995,4
EXAMPLE_3,ACE-2,12,M1vM0,0.3208419172437753,177.66637964270285,0.004375468287214188,16,0.31927145028832676,0.0070572382635713995,4
EXAMPLE_3,ACE-3,12,M1vM0,0.309516470731273,78.81949240857739,0.00530785587543358,16,0.31927145028832676,0.0070572382635713995,4
EXAMPLE_3,ACE-4,12,M1vM0,0.3203392463193591,-154.2956039396022,0.0035699075480149466,17,0.31927145028832676,0.0070572382635713995,4
EXAMPLE_3,ACE-1,12,M2vM1,0.15593183488765364,57.971385149661614,0.014718976894371426,10,0.1604994538207307,0.004500437392401605,4
EXAMPLE_3,ACE-2,12,M2vM1,0.16330084768975828,81.0504847945192,0.0035501278576209787,11,0.1604994538207307,0.004500437392401605,4
EXAMPLE_3,ACE-3,12,M2vM1,0.16528712038318655,159.9378122593755,0.006321154015346427,14,0.1604994538207307,0.004500437392401605,4
EXAMPLE_3,ACE-4,12,M2vM1,0.15747801232232428,103.69724505372392,0.006556405697498788,11,0.1604994538207307,0.004500437392401605,4
EXAMPLE_3,ACE-1,12,M3vM2,-0.5340909090909091,1333.9204545454545,0.0,2,-0.07041561965697526,0.3110812000099255,4
EXAMPLE_3,ACE-2,12,M3vM2,0.0361733467673515,196.68338321559398,0.0721013993277846,5,-0.07041561965697526,0.3110812000099255,4
EXAMPLE_3,ACE-3,12,M3vM2,0.09804696241169183,65.06078067896215,0.016585454110927624,4,-0.07041561965697526,0.3110812000099255,4
EXAMPLE_3,ACE-4,12,M3vM2,0.11820812128396464,156.41906625210862,0.04385714864213268,4,-0.07041561965697526,0.3110812000099255,4
EXAMPLE_3,ACE-1,13,M1vM0,2.5907147848433985,-145.5581879567153,0.10724818997057212,13,2.5481896870656615,0.21276110681055968,4
EXAMPLE_3,ACE-2,13,M1vM0,2.7516508853447874,-61.58887642859645,0.1058566302632314,12,2.5481896870656615,0.21276110681055968,4
