precmz,rettime,sample,precz
432.2384033203125,3.739,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
432.2899017333984,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
433.2905883789063,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
448.283203125,3.753,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
449.28759765625,3.753,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
450.3002014160156,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
451.3037567138672,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
452.3062133789063,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
466.2945861816406,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
468.31060791015625,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
469.3138122558594,3.76,20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,1
432.2372131347656,3.738,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
432.2882080078125,3.76,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
433.291259765625,3.76,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
450.3002014160156,3.76,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
451.3038024902344,3.76,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
468.3104553222656,3.752,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
469.3135070800781,3.76,20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,1
432.2388000488281,3.738,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
432.2892150878906,3.76,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
433.2403869628906,3.738,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
433.29150390625,3.76,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
448.2840881347656,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
450.3008117675781,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
451.30419921875,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
452.3070068359375,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
468.3108978271485,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
469.3138122558594,3.753,20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,1
432.2395935058594,3.745,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
432.289794921875,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
433.2420959472656,3.738,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
448.2847900390625,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
450.3009033203125,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
451.3038024902344,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
452.30690002441406,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
466.29290771484375,3.817,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
466.2961120605469,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
467.2995910644531,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
468.31060791015625,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
469.31439208984375,3.753,20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,1
