exp_id,rettime,precmz,precz,ACE_unlabelled,ACE_labelled,ACE_count,GLU_unlabelled,GLU_labelled,GLU_count
EXAMPLE_3,3.7554999999999996,450.30060000000003,1.0,True,True,7,True,True,1
EXAMPLE_4,3.7554999999999996,468.31105,1.0,True,True,1,True,True,1
EXAMPLE_6,3.7555,432.2898,1.0,True,True,5,True,True,1
EXAMPLE_11,3.777,466.2945,1.0,True,False,0,True,True,1
