row ID,row m/z,row retention time,20180409_RLUS135312ACED0-1_seen.mzml Peak RT start,20180409_RLUS135312ACED0-1_seen.mzml Peak RT end,20180409_RLUS135312ACED0-1_seen.mzml Peak area,
1,432.23858642578125,3.738,3.71,3.767,39815.7,
2,433.2416076660156,3.731,3.717,3.781,11880.690000000011,
3,450.30059814453125,3.753,3.724,3.788,76488.83999999994,
4,468.3110046386719,3.76,3.746,3.788,21715.79999999993,
5,469.31549072265625,3.753,3.738,3.767,6568.8899999999785,
